Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Code
Arik Armstead,31,JAX,DE,17,1,0,0,0,0,3,0,0,0,0,0,2,29,21,8,3,7,0,,ArmsAr01
Terron Armstead,33,MIA,T,15,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,ArmsTe00
Dorance Armstrong Jr.,27,WAS,DE,16,15,0,0,0,0,1,2,0,0,0,0,5,39,20,19,7,14,0,,ArmsDo00
Terrion Arnold,21,DET,CB,16,15,0,0,0,0,10,0,0,1,-1,0,0,60,47,13,0,0,0,,ArnoTe00
Brian Asamoah,24,MIN,LB,17,0,0,0,0,0,0,1,0,0,0,0,0,6,4,2,0,0,0,,AsamBr00
Alex Austin,23,NWE,CB,9,3,0,0,0,0,5,0,0,0,0,0,0,9,8,1,1,0,0,,AustAl00
Calvin Austin III,25,PIT,WR,17,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AustCa00
Kevin Austin,24,NOR,WR,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AustKe00
Denico Autry,34,HOU,DE,10,2,0,0,0,0,3,0,0,0,0,0,3,13,8,5,3,6,0,,AutrDe00
Tre Avery,27,TEN,CB,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,AverTr01
Steve Avila,25,LAR,OL,10,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,AvilSt00
Chidobe Awuzie,29,TEN,CB,8,7,1,8,0,8,4,1,0,0,0,0,0,26,17,9,0,0,0,,AwuzCh00
Joe Bachie,26,CIN,LB,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,BachJo01
Alex Bachman,28,LVR,WR,6,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,BachAl00
Tyler Badie,24,DEN,RB,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,BadiTy00
Jake Bailey,27,MIA,P,17,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,BailJa00
Levelle Bailey,24,DEN,LB,10,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,,BailLe00
Budda Baker,28,ARI,S,17,17,0,0,0,0,5,1,0,0,0,0,2,164,95,69,10,3,0,PBAP-2,BakeBu00
Darrell Baker,26,TEN,CB,17,9,0,0,0,0,5,0,0,0,0,0,0,40,32,8,1,0,0,,BakeDa02
Jerome Baker,28,2TM,LB,10,8,0,0,0,0,4,1,0,1,0,0,2,61,34,27,2,3,0,,BakeJe00
Corey Ballentine,28,GNB,CB,15,1,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,,BallCo00
Aaron Banks,27,SFO,OL,13,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,BankAa00
Deonte Banks,23,NYG,CB,14,14,0,0,0,0,12,1,0,0,0,0,0,52,39,13,1,0,0,,BankDe00
Saquon Barkley,27,PHI,RB,16,16,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,PBAP-1,BarkSa00
Christian Barmore,25,NWE,DT,4,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,1,0,,BarmCh00
AJ Barner,22,SEA,TE,17,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,BarnAJ00
Derrick Barnes,25,DET,LB,3,3,0,0,0,0,1,0,0,0,0,0,0,10,8,2,0,0,0,,BarnDe02
Krys Barnes,26,ARI,LB,17,0,0,0,0,0,0,0,0,0,0,0,2,35,19,16,3,2,0,,BarnKr00
Derek Barnett,28,HOU,DE,16,1,0,0,0,0,0,2,0,2,64,2,5,26,15,11,4,7,0,,BarnDe01
Amare Barno,25,CAR,OLB,5,0,0,0,0,0,0,0,0,0,0,0,1,7,4,3,1,1,0,,BarnAm00
Alex Barrett,30,SFO,DL,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,BarrAl00
Shaquil Barrett,32,TAM,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BarrSh00
Ben Bartch,26,SFO,OL,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,BartBe00
Shemar Bartholomew,24,CAR,CB,5,0,0,0,0,0,2,0,0,0,0,0,0,3,2,1,1,0,0,,BartSh00
Cody Barton,28,DEN,LB,17,14,2,71,0,56,5,1,0,1,52,1,1.5,106,53,53,2,2,0,,BartCo00
Boogie Basham,27,NYG,OLB,4,0,0,0,0,0,1,0,0,0,0,0,0,9,1,8,1,1,0,,BashCa00
Tyler Bass,27,BUF,K,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BassTy00
Jake Bates,25,DET,K,17,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,BateJa00
Jessie Bates III,27,ATL,S,17,17,4,55,1,55,10,4,0,1,0,0,1,102,62,40,2,1,0,,BateJe00
