Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Code
Tyson Campbell,24,JAX,CB,12,12,0,0,0,0,6,0,0,0,0,0,0,59,42,17,2,0,0,,CampTy01
Joe Cardona,32,NWE,LS,16,0,0,0,0,0,0,1,0,0,0,0,0,4,3,1,0,0,0,,CardJo00
Jaylon Carlies,23,IND,LB,10,6,0,0,0,0,1,0,0,0,0,0,1,36,24,12,2,1,0,,CarlJa01
Anders Carlson,26,NYJ,K,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,CarlAn00
Derek Carr,33,NOR,QB,10,10,0,0,0,0,0,0,3,3,-5,0,0,0,0,0,0,0,0,,CarrDe02
Caelen Carson,22,DAL,CB,6,5,0,0,0,0,4,0,0,0,0,0,0,27,24,3,0,0,0,,CarsCa01
Andre Carter II,24,LVR,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,1,0,,CartAn01
DeAndre Carter,31,CHI,WR,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,CartDe02
DeWayne Carter,24,BUF,DT,11,3,0,0,0,0,1,0,0,0,0,0,0,14,11,3,5,3,0,,CartDe03
Jalen Carter,23,PHI,DT,16,15,0,0,0,0,6,2,0,0,0,0,4.5,42,25,17,12,16,0,PBAP-2,CartJa05
Lorenzo Carter,29,ATL,OLB,13,11,0,0,0,0,0,1,0,0,0,0,0,32,23,9,2,2,0,,CartLo01
Michael Carter II,25,NYJ,CB,13,1,0,0,0,0,1,0,0,1,7,0,0,24,20,4,1,0,0,,CartMi02
Zachary Carter,25,2TM,DT,12,2,0,0,0,0,1,0,0,0,0,0,1.5,22,10,12,0,2,0,,CartZa00
Blake Cashman,28,MIN,LB,14,14,0,0,0,0,8,0,0,1,16,0,4.5,112,68,44,8,11,0,,CashBl00
Andre Chachere,28,ARI,S,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,ChacAn00
K'Lavon Chaisson,25,LVR,DE,15,4,1,0,0,0,2,1,0,0,0,0,5,32,19,13,7,8,0,,ChaiKL00
Ty Chandler,26,MIN,RB,17,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,,ChanTy01
Zach Charbonnet,23,SEA,RB,17,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,CharZa00
Irvin Charles,27,NYJ,WR,13,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,,CharIr00
Elijah Chatman,24,NYG,DT,17,3,0,0,0,0,0,0,0,1,0,0,1,21,11,10,2,3,0,,ChatEl00
Leo Chenal,24,KAN,LB,17,14,0,0,0,0,3,3,0,0,0,0,1,60,40,20,4,1,0,,ChenLe00
Claudin Cherelus,26,CAR,LB,13,2,0,0,0,0,0,0,0,0,0,0,0,28,13,15,0,1,0,,CherCl00
Julius Chestnut,24,TEN,RB,17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,ChesJu00
Jeremy Chinn,26,WAS,S,17,17,1,0,0,0,5,1,0,2,0,0,2,117,73,44,7,3,0,,ChinJe00
Dan Chisena,27,CAR,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,,ChisDa00
Cole Christiansen,27,KAN,LB,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,ChriCo00
Nick Chubb,29,CLE,RB,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,ChubNi00
Andre Cisco,24,JAX,S,16,14,1,22,0,22,7,0,0,0,0,0,0,68,44,24,1,0,0,,CiscAn00
Chuck Clark,29,NYJ,S,12,12,0,0,0,0,2,1,0,1,0,0,1,69,38,31,1,1,0,,ClarCh00
Damone Clark,24,DAL,LB,14,2,0,0,0,0,1,0,0,0,0,0,0.5,28,16,12,1,1,0,,ClarDa02
Kei'Trel Clark,23,ARI,CB,15,1,1,0,0,0,1,0,0,0,0,0,1,12,6,6,1,1,0,,ClarKe02
Kenny Clark,29,GNB,DL,17,17,0,0,0,0,2,0,0,2,0,0,1,37,20,17,4,5,0,,ClarKe01
Micheal Clemons,27,NYJ,DL,17,17,0,0,0,0,0,1,0,0,0,0,4.5,34,18,16,4,8,0,,ClemMi03
Jadeveon Clowney,31,CAR,OLB,14,14,0,0,0,0,4,0,0,0,0,0,5.5,46,24,22,9,11,0,,ClowJa00
Keondre Coburn,24,TEN,DL,15,1,0,0,0,0,0,0,0,0,0,0,0,14,7,7,0,0,0,,CobuKe00
Jack Cochrane,25,KAN,LB,15,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,CochJa00
Brandon Codrington,24,BUF,DB,17,0,0,0,0,0,1,0,2,1,0,0,0,9,8,1,0,0,0,,CodrBr00
Adrian Colbert,31,CHI,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,ColbAd00
Myles Cole,24,JAX,DE,8,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,1,0,0,,ColeMy00
DJ Coleman,26,JAX,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,ColeDJ00
L.J. Collier,29,ARI,DL,17,15,0,0,0,0,2,0,0,1,0,0,3.5,29,13,16,4,6,0,,CollLJ00
Maliek Collins,29,SFO,DL,17,17,0,0,0,0,0,0,0,2,0,0,5,33,20,13,5,12,0,,CollMa00
Zaven Collins,25,ARI,OLB,17,17,0,0,0,0,1,2,0,0,0,0,5,57,33,24,7,7,0,,CollZa00
Junior Colson,22,LAC,LB,11,1,0,0,0,0,1,0,0,0,0,0,0,29,15,14,0,1,0,,ColsJu00
Tyler Conklin,29,NYJ,TE,16,15,0,0,0,0,0,0,0,2,-3,0,0,0,0,0,0,0,0,,ConkTy00
Chris Conley,32,SFO,WR,15,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,,ConlCh00
Chamarri Conner,24,KAN,DB,15,9,2,32,0,29,4,1,0,1,38,1,1,77,58,19,4,4,0,,ConnCh01
James Conner,29,ARI,RB,16,16,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,,ConnJa00
Tanner Conner,26,MIA,TE,8,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,ConnTa00
Bryan Cook,25,KAN,S,17,17,2,0,0,0,5,0,0,0,0,0,0,78,55,23,1,0,0,,CookBr02
James Cook,25,BUF,RB,16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,CookJa01
Logan Cooke,29,JAX,P,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,PBAP-2,CookLo00
Edgerrin Cooper,23,GNB,LB,14,4,1,22,0,22,4,1,0,2,4,0,3.5,87,57,30,13,7,0,,CoopEd00
Jonathon Cooper,26,DEN,OLB,17,17,0,0,0,0,1,1,0,0,0,0,10.5,58,33,25,11,20,0,,CoopJo02
Malachi Corley,22,NYJ,WR,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,CorlMa00
Blake Corum,24,LAR,RB,17,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,CoruBl00
Kirk Cousins,36,ATL,QB,14,14,0,0,0,0,0,0,13,2,-16,0,0,0,0,0,0,0,0,,CousKi00
Byron Cowart,28,CHI,DT,15,7,0,0,0,0,0,0,0,0,0,0,2.5,26,14,12,5,4,0,,CowaBy00
Jacob Cowing,23,SFO,WR,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,CowiJa00
Brenton Cox,24,GNB,DL,7,0,0,0,0,0,0,1,0,0,0,0,4,12,8,4,5,7,0,,CoxxBr02
Morgan Cox,38,TEN,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,CoxxMo00
River Cracraft,30,MIA,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,CracRi00
Maxx Crosby,27,LVR,DE,12,12,0,0,0,0,5,0,0,0,0,0,7.5,45,28,17,17,20,0,PB,CrosMa00
Nick Cross,23,IND,S,17,17,3,25,0,20,5,1,0,0,0,0,1,146,87,59,6,1,0,,CrosNi00
Jamison Crowder,31,WAS,WR,6,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,CrowJa00
Jaden Crumedy,24,CAR,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.5,13,4,9,0,1,0,,CrumJa00
Zach Cunningham,30,DEN,LB,7,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,CunnZa00
Kamren Curl,25,LAR,DB,16,16,0,0,0,0,9,2,0,1,33,1,1,79,49,30,1,1,0,,CurlKa00
McClendon Curtis,25,SEA,OT,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,CurtMc00
Lloyd Cushenberry III,27,TEN,C,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,CushLl00
DeeJay Dallas,26,ARI,RB,17,0,0,0,0,0,0,0,1,0,0,0,0,7,4,3,0,0,0,,DallDe00
Drew Dalman,26,ATL,OL,9,9,0,0,0,0,0,0,1,2,-6,0,0,0,0,0,0,0,0,,DalmDr00
Andy Dalton,37,CAR,QB,6,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,DaltAn00
Scott Daly,30,CHI,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,DalySc01
Jayden Daniels,24,WAS,QB,17,17,0,0,0,0,0,0,5,0,-11,0,0,0,0,0,0,0,0,PB,DaniJa02
Michael Danna,27,KAN,DE,13,12,0,0,0,0,1,2,0,0,0,0,3.5,41,20,21,5,8,0,,DannMi00
Ronald Darby,30,JAX,CB,13,12,0,0,0,0,9,0,0,0,0,0,0,46,36,10,3,0,0,,DarbRo00
Sam Darnold,27,MIN,QB,17,17,0,0,0,0,0,0,8,2,-27,0,0,0,0,0,0,0,0,PB,DarnSa00
Marcus Davenport,28,DET,DL,2,1,0,0,0,0,0,0,0,0,0,0,0.5,2,1,1,0,4,0,,DaveMa00
Lavonte David,34,TAM,LB,17,17,1,7,0,7,6,3,0,1,0,0,5.5,122,76,46,9,6,0,,DaviLa00
D.J. Davidson,25,NYG,DL,12,2,0,0,0,0,0,0,0,2,0,0,2,23,12,11,2,2,0,,DaviDJ00
Ashtyn Davis,28,NYJ,S,15,1,2,18,0,18,2,0,0,0,0,0,0,35,25,10,5,0,0,,DaviAs00
Carl Davis,32,WAS,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,DaviCa01
Carlton Davis,28,DET,CB,13,13,2,0,0,0,11,1,0,2,49,0,0,56,42,14,2,0,0,,DaviCa02
Demario Davis,35,NOR,LB,16,16,1,0,0,0,7,0,0,0,0,0,2,136,69,67,5,2,0,,DaviDe00
Derius Davis,24,LAC,WR,15,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,,DaviDe02
Gabriel Davis,25,JAX,WR,10,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,DaviGa01
Isaiah Davis,22,NYJ,RB,17,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,,DaviIs00
Jalen Davis,28,CIN,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,DaviJa06
Jamin Davis,26,2TM,LB,9,0,0,0,0,0,0,0,0,0,0,0,1,18,12,6,2,1,0,,DaviJa11
Jordan Davis,24,PHI,DT,17,17,0,0,0,0,2,0,0,1,0,0,1,27,15,12,3,1,0,,DaviJo03
Kalia Davis,26,SFO,DL,13,0,1,2,0,2,1,0,0,0,0,0,0,12,6,6,0,0,0,,DaviKa01
Khalil Davis,28,2TM,DT,12,0,0,0,0,0,0,0,0,0,0,0,1,12,7,5,4,2,0,,DaviKh00
Michael Davis,29,WAS,CB,15,2,0,0,0,0,1,0,0,0,0,0,0,14,7,7,0,0,0,,DaviMi03
Raekwon Davis,27,IND,DT,17,0,0,0,0,0,1,0,0,0,0,0,0,15,7,8,1,0,0,,DaviRa03
Tyler Davis,24,LAR,DL,16,0,0,0,0,0,0,0,0,0,0,0,0.5,29,12,17,2,1,0,,DaviTy05
Akeem Davis-Gaither,27,CIN,LB,17,7,1,12,0,12,4,1,0,1,0,0,0,82,41,41,4,1,0,,DaviAk01
Sheldon Day,30,WAS,DT,12,0,0,0,0,0,1,0,0,0,0,0,0,24,12,12,2,1,0,,DayxSh00
Divine Deablo,26,LVR,LB,14,14,0,0,0,0,2,0,0,0,0,0,1,63,35,28,4,4,0,,DeabDi00
Jamel Dean,28,TAM,CB,12,12,1,0,0,0,7,1,0,0,0,0,0,59,45,14,0,0,0,,DeanJa00
Nakobe Dean,24,PHI,LB,15,15,1,0,0,0,4,1,0,2,0,0,3,128,80,48,9,6,0,,DeanNa00
Evan Deckers,25,TAM,LS,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,DeckEv00
Josiah Deguara,27,JAX,TE,15,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,DeguJo00
Cooper DeJean,21,PHI,DB,16,9,0,0,0,0,6,1,2,3,0,0,0.5,51,38,13,3,1,0,,DeJeCo00
Grant Delpit,26,CLE,S,16,16,0,0,0,0,1,0,0,1,0,0,1,111,68,43,7,5,0,,DelpGr00
Emari Demercado,25,ARI,RB,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,DemeEm00
Trevor Denbow,26,IND,S,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,DenbTr00
SirVocea Dennis,24,TAM,LB,4,0,0,0,0,0,0,0,0,0,0,0,1,22,14,8,1,1,0,,DennSi00
Andrew DePaola,37,MIN,LS,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,PBAP-1,DePaAn00
Gervon Dexter,23,CHI,DL,15,15,0,0,0,0,1,0,0,2,0,0,5,51,23,28,4,19,0,,DextGe00
Mohamoud Diabate,23,CLE,LB,13,11,0,0,0,0,3,0,0,0,0,0,0,70,35,35,5,0,0,,DiabMo00
YaYa Diaby,25,TAM,OLB,17,17,0,0,0,0,0,1,0,1,0,0,4.5,54,39,15,13,20,0,,DiabYa00
Marcellas Dial,24,NWE,DB,17,1,0,0,0,0,0,1,0,0,0,0,0,12,6,6,0,0,0,,DialMa00
Cameron Dicker,24,LAC,K,17,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,DickCa00
Michael Dickson,28,SEA,P,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,DickMi00
Quandre Diggs,31,TEN,FS,8,8,0,0,0,0,0,0,0,0,0,0,0,42,35,7,0,0,0,,DiggQu00
Trevon Diggs,26,DAL,CB,11,11,2,1,0,1,11,0,0,0,0,0,0,42,35,7,0,0,0,,DiggTr00
Victor Dimukeje,25,ARI,OLB,11,0,0,0,0,0,0,1,0,0,0,0,0,15,9,6,2,6,0,,DimuVi00
Riley Dixon,31,DEN,P,17,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,DixoRi00
Joshua Dobbs,29,SFO,QB,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,DobbJo00
Tyrel Dodson,26,2TM,LB,17,12,3,7,0,7,6,1,0,0,0,0,2,107,59,48,5,4,0,,DodsTy01
Brandon Dorlus,23,ATL,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,DorlBr00
Khalil Dorsey,26,DET,CB,14,1,0,0,0,0,2,0,0,0,0,0,0,14,8,6,1,0,0,,DorsKh00
Greg Dortch,26,ARI,WR,17,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,DortGr01
Demario Douglas,24,NWE,WR,17,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,DougDe00
Rasul Douglas,29,BUF,CB,15,15,0,0,0,0,5,1,0,0,0,0,0,58,43,15,5,0,0,,DougRa00
Rico Dowdle,26,DAL,RB,16,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,DowdRi01
Josh Downs,23,IND,WR,14,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,DownJo00
Storm Duck,24,MIA,CB,14,3,0,0,0,0,4,0,0,0,0,0,0,35,24,11,1,0,0,,DuckSt00
Kyle Dugger,28,NWE,S,13,13,0,0,0,0,4,1,0,0,0,0,1,81,55,26,8,1,0,,DuggKy00
Khalid Duke,23,TEN,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,DukeKh00
Ashton Dulin,27,IND,WR,15,2,0,0,0,0,0,0,0,0,0,0,0,10,8,2,0,0,0,,DuliAs00
Bud Dupree,31,LAC,OLB,17,0,1,0,0,0,2,1,0,0,0,0,6,28,18,10,6,10,0,,DuprAl00
Cobie Durant,26,LAR,DB,15,14,1,0,0,0,8,1,0,0,0,0,1,40,28,12,4,2,0,,DuraDe01
Cory Durden,25,NYG,NT,4,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,1,0,0,,DurdCo00
Payne Durham,24,TAM,TE,16,6,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,,DurhPa00
Devin Duvernay,27,JAX,WR,13,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,DuveDe00
Ross Dwelley,29,ATL,TE,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,DwelRo00
Troy Dye,28,LAC,LB,17,5,0,0,0,0,0,0,0,0,0,0,1.5,57,34,23,2,2,0,,DyexTr00
Kenny Dyson,23,CAR,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,,DysoKe01
Arnold Ebiketie,25,ATL,OLB,17,2,0,0,0,0,2,0,0,1,0,0,6,38,26,12,6,12,0,,EbikAr00
Justin Eboigbe,23,LAC,DL,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,EboiJu00
Brandin Echols,27,NYJ,CB,16,4,2,0,0,0,3,0,0,1,0,0,0,40,29,11,1,0,0,,EchoBr00
Terrell Edmunds,27,PIT,S,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,,EdmuTe00
Tremaine Edmunds,26,CHI,LB,17,17,1,0,0,0,8,1,0,0,0,0,1,110,60,50,3,3,0,,EdmuTr01
Gus Edwards,29,LAC,RB,11,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,EdwaGu00
Mario Edwards,30,HOU,DT,13,12,0,0,0,0,2,0,0,2,0,0,3,31,12,19,3,8,0,,EdwaMa01
Mike Edwards,28,2TM,S,8,2,0,0,0,0,1,0,0,0,0,0,0,12,7,5,0,1,0,,EdwaMi01
T.J. Edwards,28,CHI,LB,17,17,1,0,0,0,3,1,0,2,0,0,4,129,79,50,12,6,0,,EdwaTJ02
Samuel Eguavoen,31,NYJ,LB,17,1,0,0,0,0,0,0,0,0,0,0,0,14,7,7,0,0,0,,EguaSa00
Tommy Eichenberg,23,LVR,LB,14,1,0,0,0,0,0,0,0,0,0,0,0,13,8,5,0,0,0,,EichTo00
Austin Ekeler,29,WAS,RB,12,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,AP-2,EkelAu00
Daniel Ekuale,30,NWE,DT,16,16,0,0,0,0,0,0,0,0,0,0,1,52,24,28,2,3,0,,EkuaDa00
Ikem Ekwonu,24,CAR,T,15,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,EkwoIk00
Kaiir Elam,23,BUF,CB,13,4,0,0,0,0,2,0,0,1,0,0,0,26,17,9,2,0,0,,ElamKa00
DeShon Elliott,27,PIT,S,15,14,1,0,0,0,6,2,0,3,10,0,0,108,72,36,4,2,0,,ElliDe02
Ezekiel Elliott,29,DAL,RB,15,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,ElliEz00
Jordan Elliott,27,SFO,DL,15,13,0,0,0,0,0,0,0,0,0,0,0,19,12,7,2,2,0,,ElliJo02
Christian Elliss,25,NWE,LB,16,5,1,6,0,6,5,1,0,1,0,0,1.5,80,42,38,1,5,0,,ElliCh00
Jonah Elliss,21,DEN,OLB,17,0,0,0,0,0,2,0,0,0,0,0,5,38,24,14,7,6,0,,ElliJo03
Kaden Elliss,29,ATL,LB,17,17,1,12,0,12,3,1,0,1,0,0,5,151,85,66,8,16,0,,ElliKa00
Jermaine Eluemunor,30,NYG,OL,15,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,ElueJe00
Martin Emerson,24,CLE,CB,17,15,0,0,0,0,5,1,0,1,2,0,0,80,62,18,3,0,0,,EmerMa00
Kingsley Enagbare,24,GNB,DL,17,7,0,0,0,0,0,2,0,0,0,0,4.5,39,18,21,6,8,0,,EnagKi00
Evan Engram,30,JAX,TE,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,EngrEv00
A.J. Epenesa,26,BUF,DE,17,13,0,0,0,0,2,2,0,0,0,0,6,39,23,16,8,11,1,,EpenAJ00
Marcus Epps,28,LVR,S,3,3,0,0,0,0,0,0,0,0,0,0,0,19,16,3,2,0,0,,EppsMa00
Zach Ertz,34,WAS,TE,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,ErtzZa00
Audric Estime,21,DEN,RB,13,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,EstiAu00
Travis Etienne,25,JAX,RB,15,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,EtieTr00
Akayleb Evans,25,2TM,CB,9,1,0,0,0,0,1,0,0,0,0,0,0,5,4,1,0,0,0,,EvanAk00
Mike Evans,31,TAM,WR,14,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,EvanMi00
Ka'imi Fairbairn,30,HOU,K,17,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,FairKa01
Princeton Fant,25,DAL,TE,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,FantPr00
Caleb Farley,26,CAR,CB,9,1,0,0,0,0,0,0,0,0,0,0,0,17,11,6,0,0,0,,FarlCa00
Luke Farrell,27,JAX,TE,17,8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,FarrLu00
Neil Farrell,26,MIA,DT,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,,FarrNe00
Folorunso Fatukasi,29,HOU,DT,11,11,0,0,0,0,0,0,0,0,0,0,1,24,16,8,4,3,0,,FatuFo00
Simi Fehoko,27,LAC,WR,8,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,FehoSi00
Blake Ferguson,27,MIA,LS,5,0,0,0,0,0,0,0,1,0,-8,0,0,1,0,1,0,0,0,,FergBl00
Jake Ferguson,25,DAL,TE,14,14,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,,FergJa00
Reid Ferguson,30,BUF,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,FergRe00
Clelin Ferrell,27,WAS,DE,14,10,0,0,0,0,0,1,0,0,0,0,3.5,26,11,15,4,9,0,,FerrCl00
Justin Fields,25,PIT,QB,10,6,0,0,0,0,0,0,6,3,-22,0,0,0,0,0,0,0,0,,FielJu00
Tony Fields,25,CLE,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,FielTo00
AJ Finley,23,2TM,S,14,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,0,0,0,,FinlAJ00
Anthony Firkser,29,KAN,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,FirkAn00
Blake Fisher,21,HOU,T,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,FishBl00
Tucker Fisk,25,LAC,TE,9,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,FiskTu00
Braden Fiske,24,LAR,DE,17,8,0,0,0,0,0,2,0,2,8,0,8.5,44,20,24,10,10,0,,FiskBr00
Minkah Fitzpatrick,28,PIT,S,17,17,1,25,0,25,4,1,0,0,0,0,0,96,62,34,1,0,0,PB,FitzMi00
Joe Flacco,39,IND,QB,8,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,FlacJo00
Demetrius Flannigan-Fowles,28,SFO,LB,12,3,1,0,0,0,2,0,0,0,0,0,0,17,10,7,1,0,0,,FlanDe00
Cordale Flott,23,NYG,CB,14,10,1,26,0,26,7,0,0,0,0,0,0,53,36,17,2,0,0,,FlotCo00
Ryan Flournoy,25,DAL,WR,11,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,,FlouRy00
Dallis Flowers,27,IND,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,0,0,,FlowDa00
Tre Flowers,29,2TM,CB,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,,FlowTr01
Leonard Floyd,32,SFO,DL,17,17,0,0,0,0,1,1,0,0,0,0,8.5,42,25,17,8,16,0,,FloyLe00
Nick Folk,40,TEN,K,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,FolkNi20
Emmanuel Forbes,23,2TM,CB,8,2,1,19,0,19,2,0,0,0,0,0,0,12,6,6,0,0,0,,ForbEm00
Jaylan Ford,23,NOR,LB,8,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,FordJa02
Jonathan Ford,25,CHI,DL,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,1,0,0,,FordJo00
Mike Ford,29,CLE,CB,17,0,0,0,0,0,0,0,0,0,0,0,0,13,11,2,0,0,0,,FordMi01
Poona Ford,29,LAC,DT,17,17,1,3,0,3,5,0,0,0,0,0,3,39,24,15,8,9,0,,FordPo00
Bryce Ford-Wheaton,24,NYG,WR,14,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,,FordBr00
D'Onta Foreman,28,CLE,RB,11,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,ForeDO00
Darrick Forrest,25,WAS,S,10,1,0,0,0,0,0,0,0,0,0,0,0,13,6,7,0,0,0,,ForrDa00
Isaiah Foskey,24,NOR,DE,17,0,0,0,0,0,0,0,0,0,0,0,0,16,4,12,0,0,0,,FoskIs00
Leki Fotu,26,NYJ,DT,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,FotuLe00
Dante Fowler,30,WAS,LB,17,7,1,67,1,67,1,2,0,0,0,0,10.5,39,25,14,14,12,0,,FowlDa00
Morgan Fox,30,LAC,DL,17,3,0,0,0,0,1,0,0,0,0,0,3.5,27,19,8,4,6,0,,FoxxMo00
Tomon Fox,26,NYG,OLB,11,0,0,0,0,0,0,0,0,0,0,0,1,14,7,7,2,3,0,,FoxxTo00
Mitchell Fraboni,28,DEN,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,FrabMi00
Sam Franklin,28,CAR,S,10,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,,FranSa00
Zaire Franklin,28,IND,LB,17,17,2,4,0,4,6,5,0,0,0,0,3.5,173,93,80,11,4,0,PBAP-2,FranZa00
John Franklin-Myers,28,DEN,DL,17,16,0,0,0,0,0,0,0,0,0,0,7,40,18,22,8,18,0,,FranJo02
Feleipe Franks,27,CAR,TE,16,0,0,0,0,0,0,0,0,1,0,0,0,10,6,4,0,0,0,,FranFe00
