Player,G,PP,POS,SCR,AST,GLS,BLK,PLUSMINUS,CMP,CMPPER,Y,TY,RY,OEFF,HA,T,S,D,C,HCK,HCKPER,PUL,OPP,DPP,MP
Mark Turner - HTX,9,15.78,18.89,4.22,2.33,1.89,0.33,3.22,15.78,91.61,266.56,141.44,125.11,54.12,1,1.22,0,0.11,0,0.78,77.78,0,15.44,0.33,16.72
Kai Marshall - COL,13,15.77,10.15,0.46,0.15,0.31,0.62,0.77,3.31,93.48,59.23,18.92,40.31,51.52,0.38,0.15,0,0.15,0,0.08,100,0,2,13.77,15.32
Cy Toriello - LA,12,15.75,11,1,0.42,0.58,0.67,1.08,6.67,91.95,71.92,33.5,38.42,40.91,0.33,0.5,0,0.08,0,0.17,66.67,0.33,3.17,12.58,18.2
Zachary Cotter - HTX,12,15.75,10.58,1.5,0.58,0.92,0.83,1.42,6.42,88.51,143.08,46.83,96.25,38.58,0.42,0.67,0,0.25,0,0.42,62.5,4.33,4.25,11.5,16.57
Nick Pappas - IND,7,15.71,16.57,1.86,1,0.86,0.43,0,9,86.3,184.71,91,93.71,43.97,1.29,1.29,0,1,0,0.43,75,0,8.43,7.29,18.43
Adam Turcotte - TOR,3,15.67,10.67,0,0,0,1,1,10,100,64.33,24,40.33,53.13,0.33,0,0,0,0,0,,0,3.33,12.33,17.98
Benjamin Simmons - NY,11,15.64,8.09,0.55,0.18,0.36,0.45,0.91,3.09,94.44,56.18,18.82,37.36,50.56,0.45,0.09,0,0,0,0.09,50,0,0.91,14.73,16.8
Zach Slayton - COL,11,15.64,15.36,1.55,0.73,0.82,0.18,0.55,15.82,92.06,149.64,91.55,58.09,52.66,1.18,1,0,0.18,0,0.36,36.36,3.36,8.18,7.45,18.15
Aleksei Felt - LV,8,15.63,14.88,0.75,0.63,0.13,0,-0.5,10,88.89,93.13,74.63,18.5,21.01,0.25,1.13,0,0.13,0,0.13,50,0.63,7.38,8.25,16.3
Brent Moore - LV,8,15.63,11.5,1.38,0.38,1,1.25,1.75,3.75,83.33,70.25,6.63,63.63,33.7,0.25,0.75,0,0.13,0,0,0,4.25,4.38,11.25,18.41
Lincoln Grench - OAK,8,15.63,11.5,1.5,1,0.5,0.63,1.5,7.63,92.42,95.5,50,45.5,51.09,0.63,0.63,0,0,0,0.25,66.67,0,0.63,15,17.72
Ian McCosky - MAD,5,15.6,13,1,0.8,0.2,0.4,0.8,13.2,94.29,111,79.6,31.4,49.23,0.2,0.6,0,0,0,0.2,33.33,0,4.8,10.8,17
John Wellers - CAR,10,15.6,7,0.4,0.1,0.3,0.8,0.9,2.1,91.3,28.4,-1.1,29.5,62.86,0.2,0.2,0,0.1,0,0,,0,0.1,15.5,17.03
Pawel Janas - CHI,10,15.6,13.2,3.2,2.9,0.3,0.1,2.8,22.8,95.4,188.7,155,33.7,61.36,1.3,0.5,0,0,0,0.4,44.44,7.1,3.3,12.3,18.3
Sam Jonas - NY,12,15.58,9.17,1,0.75,0.25,1.17,1.92,11.83,99.3,82.75,58.83,23.92,51.82,0.58,0.08,0,0.17,0,0.17,100,0,1.58,14,18.34
Trey Koch - DET,11,15.55,15.82,1.45,0.36,1.09,0.45,1.27,4.18,90.2,94.64,15.55,79.09,29.89,0.27,0.36,0,0.27,0,0,,0,10.09,5.45,16.55
Max Hanscom - MIN,10,15.5,12.1,1.2,0.2,1,1.5,2.5,3.2,94.12,60.7,13.1,47.6,53.72,0.5,0.2,0,0,0,0,,0,0.7,14.8,18.6
Reed Browning - SLC,12,15.5,9.92,1.75,1,0.75,0.67,1.58,4.42,84.13,109.25,39.92,69.33,53.78,0.75,0.83,0,0,0,0.33,66.67,0,0.33,15.17,18.46
Terry Gaither - DET,8,15.5,10.75,0.75,0.13,0.63,0.25,0.75,1.75,,28.88,1.5,27.38,27.91,0,0.13,0,0.13,0,0,,0,4.88,10.63,16.87
Antoine Davis - NY,11,15.45,8.55,0.91,0.36,0.55,0.82,1.64,2.64,93.55,57.36,23.91,33.45,52.13,0.36,0.09,0,0,0,0.18,100,0,0.73,14.73,16.81
Tyler Chan - BOS,11,15.45,12.18,1.36,0.82,0.55,1,1.82,10.45,93.5,135.18,72.09,63.09,55.22,0.73,0.55,0,0,0,0.36,44.44,0.18,3.45,12,19.35
Caleb Dixon - HTX,5,15.4,19.2,2.2,1.2,1,0,1,24.4,94.57,317.8,259.8,58,51.04,0.6,1.2,0,0,0,0.8,66.67,0,15.4,0,16.39
Eric Witmer - PHI,10,15.4,9.1,0.3,0.3,0,0.8,0.7,5.9,95.16,45.9,32.4,13.5,49.45,0.5,0.3,0,0.1,0,0,,0,1.7,13.7,18.89
Ryan Wartenberg - IND,11,15.36,12.55,0.55,0,0.55,0.55,0.55,4.73,89.66,100.45,26.73,73.73,39.13,0.64,0.45,0,0.09,0,0.09,50,0,3.91,11.45,17.74
Geoff Bevan - MTL,6,15.33,12.67,1.83,1.33,0.5,0.5,1.33,13.5,94.19,163.33,125.5,37.83,59.21,0.5,0.83,0,0.17,0,1.33,72.73,5.33,7.33,8,16.83
Jacob Artz - ORE,9,15.33,13.11,0.22,0,0.22,0.33,-0.22,13,97.5,97.78,56,41.78,34.75,0.78,0.22,0.11,0.56,0,0,,0,5.56,9.78,18.21
Joshua Gabella - IND,6,15.33,13.67,1,0.5,0.5,0.17,0.33,10.83,92.86,117.33,60,57.33,36.59,0.33,0.83,0,0,0,0.17,100,0,9.17,6.17,15.15
Milan Rivas - CHI,6,15.33,16.67,1.67,0.83,0.83,0.5,1.17,11.33,91.89,144,86.83,57.17,50,1.33,0.83,0,0.17,0.17,0.33,50,0,0,15.33,19.57
Stefan Samu - SD,9,15.33,9.56,1.44,0.56,0.89,0.56,1.67,4.89,91.67,105.89,44.44,61.44,55.81,0.22,0.33,0,0,0,0.33,75,0.44,1.44,13.89,17.95
Michael Maroon - PHI,7,15.29,17,3.29,0.86,2.43,0.29,3,8.86,93.94,153.29,7,146.29,52.1,1,0.57,0,0,0,0,,0,13.71,1.57,17.72
Bret Bergmeier - MIN,11,15.27,13.45,1.73,1.18,0.55,0.36,1.18,10,92.44,153.91,71.73,82.18,55.41,1,0.73,0.09,0.18,0,0.55,60,0.27,2.91,12.36,18.05
Conner Stillwell - ORE,11,15.27,18.64,1.91,1.18,0.73,0.27,0.64,12.91,89.87,244.73,72.73,172,38.54,1.09,1.18,0,0.36,0,0.27,100,0,14.73,0.55,17.29
Nico Ranabhat - MAD,11,15.27,19.55,3.18,1,2.18,0.27,2.36,10.64,93.6,198.09,45.18,152.91,52.56,0.91,0.64,0,0.45,0,0.18,66.67,0.09,12.73,2.55,18.95
Dillon Whited - OAK,4,15.25,19.75,4,1,3,0.25,3.25,9.5,90.48,178.75,33.25,145.5,54.43,0.75,1,0,0,0,0,,0,15.25,0,17.38
Luke Marks - MAD,12,15.25,11.17,1.25,0.83,0.42,1.83,2.42,3.83,90.2,55.58,28.08,27.5,49.25,0.17,0.42,0,0.25,0,0.17,50,2.25,0.33,14.92,16.59
Owen Johnson - ATX,12,15.25,9.58,1.33,0.33,1,1.17,2.17,4.83,93.55,80.58,13.08,67.5,59.13,0.67,0.33,0,0,0,0,,0,1.75,13.5,16.06
Topher Davis - BOS,12,15.25,18.08,1.25,0.75,0.5,0.25,0.83,14.08,96.57,132.25,67.92,64.33,56.22,1.08,0.5,0,0.17,0,0.08,33.33,0,12.92,2.33,20.69
Will Dillender-Kinast - ORE,4,15.25,10.25,0.5,0,0.5,1.5,1,2.75,,50,20.75,29.25,43.9,0.5,0.5,0,0.5,0,0,,0,2.25,13,16.84
Ben Powlay - MTL,6,15.17,12.33,1.17,0.83,0.33,0.17,0,7.33,83.02,115.67,79.17,36.5,43.24,0.67,1.33,0,0,0,0.5,60,4.17,6,9.17,17.12
Antoine Rousseau - MTL,7,15.14,12,1.29,0.86,0.43,0.86,0.86,11.29,89.77,107.71,92.14,15.57,44.05,0.43,1.14,0,0.14,0,0.29,50,9.57,3.14,12,18.73
Trevor Polisuk-Balfour - DET,8,15.13,11.63,1.38,0.88,0.5,1.13,1.88,4.88,88.64,110.75,43.25,67.5,30.11,0.38,0.63,0,0,0,0.5,80,0,2.88,12.25,17.92
Victor Curodeau - MTL,8,15.13,13.13,1.88,0.5,1.38,0.25,1.75,7.38,98.33,128.88,35.75,93.13,47.62,0.63,0.13,0,0.25,0,0,,0,7.88,7.25,17.23
Henry Goldenberg - CHI,9,15.11,18.89,1.78,1.22,0.56,0,0.44,18.22,92.13,191,127.11,63.89,58.82,1.44,1.11,0,0.22,0,0.33,33.33,0.11,14,1.11,16.84
Kyle Suelflow - MIN,9,15.11,11.78,1.67,0.67,1,0.78,1.89,3.11,84.85,86.11,30.78,55.33,50.94,0.33,0.56,0,0,0,0.33,60,0,1.67,13.44,16.94
Carter Lankford - OAK,10,15.1,10.6,1.9,0.2,1.7,1.8,3,5.1,89.47,107.2,20.2,87,52.83,0.5,0.6,0,0.1,0,0,,0.1,1.6,13.5,16.58
Brycen Williams - LV,11,15.09,11.55,0.73,0.36,0.36,0.27,0.09,5.91,89.04,98.91,32.91,66,33.07,0.45,0.73,0,0.18,0,0.09,100,0.09,5.73,9.36,16.66
Brendan McCann - BOS,15,15.07,8.87,0.93,0.4,0.53,0.27,0.73,10.73,94.71,87.33,82.33,5,54.14,0.53,0.4,0,0.07,0,0.6,81.82,4.4,0.47,14.6,17.99
Axel Hartzog - SEA,1,15,11,1,1,0,0,1,4,,117,83,34,,1,0,0,0,0,1,100,0,5,10,15.65
Andrew Vande Berg - CAR,7,15,8.57,0.86,0.14,0.71,0.86,1.43,3.14,100,48,8.14,39.86,48.33,0.29,0,0,0.29,0,0,,7,1.71,13.29,17.3
Blake Krapfl - MIN,14,15,11.21,1.29,0.57,0.71,1.07,2.14,1.64,88.46,52.07,16.79,35.29,54.14,0.5,0.21,0,0,0.07,0.14,100,0,0,15,17.68
Doc Surrell - IND,1,15,18,1,1,0,0,-1,1,,17,11,6,,0,1,0,1,0,0,,0,5,10,19.23
Gus Norrbom - DC,10,15,18.4,2,1.1,0.9,0,1.6,29.5,98.33,254.3,193.4,60.9,56.52,1.5,0.4,0,0,0,0,,0,14.9,0.1,19.51
Graham Turner - DC,2,15,19,1.5,0.5,1,0,1.5,8,,52.5,-21.5,74,55.26,0.5,0,0,0,0,0,,0,14.5,0.5,17.18
Jacob Blue - IND,2,15,11,1.5,1,0.5,0,0.5,6.5,,142.5,82.5,60,36.36,1,1,0,0,0,0.5,100,2,3.5,11.5,16.5
Mitchell Savage - DET,7,15,7.71,0.14,0,0.14,0.14,0.14,3,95.45,36.86,12.57,24.29,27.78,0.43,0,0,0.14,0,0,,0,2,13,15.21
Noah Petersen - MAD,2,15,10,1,0,1,0,1,5.5,,9.5,-15.5,25,60,0.5,0,0,0,0,0,,0,2.5,12.5,13.37
Noah Powell - ATX,12,15,7.83,0.58,0.08,0.5,0.83,1.42,2.92,100,49.42,6.25,43.17,52.13,0.17,0,0,0,0,0,,0,0.25,14.75,15.15
Sean McDonald - SLC,1,15,10,2,0,2,0,2,7,,91,59,32,,1,0,0,0,0,0,,0,1,14,21.27
Victor Luo - CHI,7,15,13,1.43,0.86,0.57,0,0.57,11.71,92.13,93.57,69.14,24.43,54.95,1.29,0.71,0,0.14,0,0.29,50,1.57,1.57,13.43,16.89
Val Post - MAD,1,15,9,2,2,0,2,4,3,,66,51,15,,0,0,0,0,0,1,100,1,0,15,12.68
Miles Grovic - DC,8,14.88,7.88,1.13,0.38,0.75,1.5,2.5,3.5,96.55,101.63,16.63,85,47.62,0.5,0.13,0,0,0,0,,0,1.5,13.38,16.91
Noah Hanson - MIN,15,14.87,12.47,1.6,0.93,0.67,1.27,2.07,5.67,86.73,98.73,49.93,48.8,51.87,0.4,0.73,0,0.07,0,0.27,50,0,0.33,14.53,19.32
Beckett Sessums - ORE,7,14.86,10.86,2.29,1,1.29,0.29,1.57,4.43,86.11,118.86,35.29,83.57,52.63,0.71,0.57,0,0.43,0,0.29,66.67,0,2.71,12.14,15.37
Robin Vickers Batzdorf - OAK,6,14.83,11.5,0.83,0.17,0.67,1,1.33,13.33,97.56,46,30.33,15.67,44.93,1.33,0.33,0,0.17,0,0,,0.5,1.83,13,16.77
Tony Mounga - SLC,12,14.83,9.17,2,1.17,0.83,0.83,1.83,5.08,84.72,98.67,61.58,37.08,56.36,0.33,0.92,0,0.08,0,0.5,60,0.08,0.42,14.42,16.92
Cameron Brock - ATL,11,14.82,17.55,2.45,1,1.45,0.09,2,15.82,97.21,200.82,81.27,119.55,62.18,0.91,0.45,0.09,0.09,0,0.18,100,0,14.82,0,18.32
Mark Baldauf - HTX,11,14.82,15.09,2.45,1.82,0.64,0.36,1.73,18.73,93.64,217,124.55,92.45,45.78,0.73,1.09,0,0,0,0.55,75,0.09,11.82,3,15.24
Curtis Watkins - SLC,5,14.8,8.6,1,0,1,0.2,1.2,2.8,,42.6,6.2,36.4,62.79,0,0,0,0,0,0,,0,0.6,14.2,14.61
Jace Dean - DC,13,14.77,7.46,0.46,0.15,0.31,0.31,0.23,4.62,85.71,52.54,16.08,36.46,50.52,0.31,0.54,0,0,0,0,,0,0.23,14.54,17.5
Adam Whitton - DET,4,14.75,7.75,1,0.75,0.25,0.25,0,4.5,75,38.75,20.5,18.25,41.94,0,1.25,0,0,0,0,0,0,1.25,13.5,14.99
Jeff Gao - CHI,8,14.75,10.38,1.75,0.75,1,0.5,2.25,8.38,100,84.88,39.5,45.38,60.24,0.75,0,0,0,0,0,,0,0,14.75,17.31
Jeff Wodatch - DC,12,14.75,17.75,1.92,0.83,1.08,0.42,0.83,15,92.31,237.08,85.83,151.25,51.64,1.33,1.25,0,0.25,0,0.42,62.5,0,13.92,0.83,18.43
Ryan Wolfe - ORE,12,14.75,10.58,0.83,0.42,0.42,0.33,0.08,4.42,84.13,74.25,28.33,45.92,37.01,0.25,0.75,0,0.33,0,0.33,57.14,0.08,2.42,12.33,16.84
Sofiène Bontemps - CHI,4,14.75,12,2.75,1,1.75,0.5,2.75,6,92.31,155.25,60.25,95,62.5,0.75,0.5,0,0,0,0.5,66.67,6,4.25,10.5,15.78
Steven Kelly - HTX,12,14.75,10.58,1.08,0.25,0.83,0.42,0.75,4.25,85,66.33,9.17,57.17,37.01,0.25,0.58,0,0.17,0,0,0,0.17,5.42,9.33,15.2
Tyler Emig - LA,4,14.75,20.5,2,1,1,0,-0.5,28.75,93.5,246.5,221,25.5,45.12,1,1.75,0,0.75,0,1,57.14,0,14.25,0.5,18.83
Joshua Wilson - MAD,11,14.73,12.73,1.55,1,0.55,0.45,1.27,12.55,92.62,146.64,98,48.64,45.71,0.36,0.55,0.09,0.18,0,0.55,66.67,4.09,4.27,10.45,16.82
Ryan Kindell - PIT,7,14.71,10.43,0.29,0.14,0.14,1.14,0.57,2.14,75,35.71,6.29,29.43,42.47,0.29,0.71,0,0.14,0,0,0,1.71,1,13.71,17.55
Sam Kaminsky - CHI,7,14.71,19.71,2.14,1.29,0.86,0.14,2,18.71,100,181.29,117.57,63.71,60.14,1.71,0,0,0.29,0,0,,0.14,13.57,1.14,15.33
Wilson Matthews - CHI,10,14.7,19.7,2.1,0.1,2,0.2,1.9,7,97.22,148.9,1.5,147.4,51.27,0.8,0.2,0,0.2,0,0,,0,13.9,0.8,17.92
Cameron Lacy - MIN,16,14.69,12,1.63,0.94,0.69,0.44,1.38,8.56,90.73,81.44,60.06,21.38,55.21,0.94,0.69,0.06,0,0,0.25,50,9.81,0.38,14.31,18.72
David Zoldan - DET,3,14.67,11.67,1.33,0.33,1,0.33,1,3.67,,92.33,22.67,69.67,45.71,0.67,0.67,0,0,0,0,,0,3.67,11,17.16
Kydan Young - IND,6,14.67,13.83,1.17,0.5,0.67,1,0,5.67,73.91,104.33,44.67,59.67,34.94,0.17,1.67,0,0.5,0,0.33,22.22,4,5.17,9.5,17.73
Matthew Johnson - MIN,8,14.63,11.38,1,0.25,0.75,0.75,1.75,2.25,,63.63,17.25,46.38,65.93,1.13,0,0,0,0,0,,0,0.63,14,15.8
Cam Albin - HTX,5,14.6,13,1.8,1,0.8,0.2,1.4,11.2,96.55,156,45.6,110.4,53.85,1.2,0.4,0,0.2,0,0.2,50,0,8.6,6,16.7
Drew Happe - IND,5,14.6,11.8,1.4,1,0.4,1,1,11.2,90.32,120.8,62,58.8,38.98,0.2,1.2,0,0.2,0,0.2,33.33,5.8,5,9.6,15.58
Jordan Taylor - HTX,5,14.6,4.6,0.2,0,0.2,0,-0.2,2.2,,22.8,7.6,15.2,34.78,0,0.4,0,0,0,0,,0,1,13.6,13.6
Drew Swanson - CAR,7,14.57,7,0.57,0.29,0.29,1.43,2,1.29,,33.14,4.57,28.57,51.02,0.14,0,0,0,0,0,,0,0.86,13.71,14.62
Kobi McCracken - SD,14,14.57,9.93,1,0.79,0.21,0.36,1.14,6.64,93.94,89.5,48.29,41.21,53.96,0.57,0.21,0,0,0,0.21,75,0,2.29,12.29,17.24
James Shorey - LV,11,14.55,15.36,0.73,0.27,0.45,0.27,0.18,4.18,83.64,65.82,17.45,48.36,27.22,0.36,0.82,0,0,0,0,0,0,10.73,3.82,17.4
Kelsen Alexander - MAD,13,14.54,19.92,1.31,0.62,0.69,0.38,0.38,19.46,93.7,207.15,142.38,64.77,47.1,1.54,1.15,0,0.15,0,0.23,50,0,13.08,1.46,18.74
AJ Miles - LV,4,14.5,13,0.5,0,0.5,0.5,0.5,2,,61.25,5.75,55.5,28.85,0.25,0.25,0.25,0.25,0,0.25,50,0,8.5,6,15.41
Eddie Finley - LA,6,14.5,10.17,0.5,0.17,0.33,0.83,0.83,3.5,87.5,34,2.33,31.67,42.62,0.33,0.5,0,0,0,0,,0,3.67,10.83,15.18
Jesse Johnson - CHI,8,14.5,10.75,2.13,0.63,1.5,1.25,2.38,4.88,90.7,98.13,17.88,80.25,61.63,0.88,0.5,0,0.5,0,0,0,0,0.13,14.38,16.61
Matthew Fredrickson - SLC,2,14.5,9.5,1,0,1,0.5,1.5,0.5,,33,0,33,,0,0,0,0,0,0,,0,0,14.5,16.86
Owen Woodward - IND,4,14.5,13.5,1.75,0,1.75,0.25,1.75,4.75,86.36,111.75,40,71.75,40.74,0.25,0.25,0,0,0,0,0,0,3.75,10.75,16.14
Austin Kelly - ORE,11,14.45,19.09,1.45,1.36,0.09,0.18,-1,27.18,90.06,257.09,240,17.09,36.19,0.55,2.45,0.09,0.18,0,1,55,0,14.36,0.09,17.3
Emmet Shipway - SEA,11,14.45,13.64,1.64,0.18,1.45,0.36,1.09,11.64,91.43,120.73,76.55,44.18,47.33,0.27,0.82,0,0.09,0,0.09,50,0.18,7.18,7.27,16.84
Jake Murray - PIT,7,14.43,10.86,0.71,0.43,0.29,0.57,0.57,8.43,89.39,85,58.57,26.43,42.11,0.86,0.71,0,0,0,0.14,100,0.14,3,11.43,15.86
Owen Shaff - LA,12,14.42,8.92,0.67,0.25,0.42,0.83,0.83,3.08,86.05,74.17,23.33,50.83,32.71,0.25,0.42,0,0.25,0,0.17,66.67,0,2.17,12.25,17.04
Oscar Graff - BOS,5,14.4,7.4,1.4,0.8,0.6,0.2,1.6,19.2,100,106.8,64.8,42,62.16,1.2,0,0,0,0,0.2,100,0,1.2,13.2,20.89
Phillip Korolog - SEA,5,14.4,10,1.4,0.8,0.6,0.4,1.6,5,96.15,61.4,20.6,40.8,50,0.6,0.2,0,0,0,0.2,100,0.6,5,9.4,13.92
Jasper Tom - DC,11,14.36,8.18,0.91,0.45,0.45,1,1.73,7.91,98.86,42.36,42.64,-0.27,53.33,0.36,0.09,0,0.09,0,0.18,100,0,0.18,14.18,16.88
Brock Thibodeaux - HTX,3,14.33,6,0.67,0,0.67,0,0,2.33,,50.67,21.33,29.33,,0,0.67,0,0,0,0,,0,2.33,12,15.87
Josh East - TOR,3,14.33,12,1.33,0.67,0.67,0.33,1,9.33,93.33,118,45.67,72.33,41.67,1,0.67,0,0,0,0,,0,7.33,7,19.31
Ryan Flick - ATL,6,14.33,16.83,1.17,0.67,0.5,0,0.5,24.67,98.01,202.33,174,28.33,57.43,1.33,0.5,0,0.17,0,0.33,100,0,13.83,0.5,17.19
Shashank Alladi - NY,12,14.33,7.67,0.75,0.33,0.42,0.42,0.67,5.83,92.11,45.33,24.92,20.42,48.91,0.5,0.42,0.08,0.08,0,0.25,100,0,0.5,13.83,16.07
Franky Fernandez - ATL,7,14.29,7.71,0.57,0.43,0.14,0.86,1,3.29,95.83,29.86,3.43,26.43,50,0,0.14,0,0.29,0,0,,0,0,14.29,16.09
Alexandre Fall - DC,12,14.25,8.58,0.58,0.17,0.42,0.75,0.92,2.58,88.57,49.25,-2.25,51.5,46.6,0.17,0.33,0,0.08,0,0,,0,0.25,14,17.11
Angelo Olcese - CAR,8,14.25,9.13,1,0.88,0.13,0.25,0.75,9.75,95.12,77.75,65.88,11.88,49.32,0.63,0.5,0,0,0,0.13,50,0,1.13,13.13,17.82
Brock Jensen - LV,4,14.25,9.5,0.5,0.25,0.25,0,0.25,6,88.89,69.75,57.25,12.5,26.32,0.5,0.25,0,0,0,0.25,100,0.25,5,9.25,13.05
Jakeem Polk - ATL,12,14.25,6.75,0.42,0.25,0.17,0.33,0.67,1.83,95.65,17,8.92,8.08,46.91,0.08,0.08,0,0,0,0.08,100,2.5,0.17,14.08,15.04
Max Tran - PHI,8,14.25,8.38,1.38,0.63,0.75,0.75,1.88,4.38,97.22,85.13,46.63,38.5,52.24,0.38,0.13,0,0.13,0,0.38,100,0,1.88,12.38,16.63
Peter Mans - MIN,4,14.25,14.75,1.5,0.75,0.75,1,1.75,6,92.31,84,31.75,52.25,62.71,0.5,0.5,0,0.25,0,0,0,0,2,12.25,16.25
Saeed Semrin - COL,8,14.25,9.38,1.5,0.75,0.75,0.25,1.25,3.38,90,78.13,17.13,61,53.33,0.38,0.38,0,0.13,0,0,0,0,1.38,12.88,15.99
Maxwell Hume - SD,13,14.23,8.46,1.23,0.23,1,0.46,1.08,3.85,89.29,63.15,16.31,46.85,57.27,0.23,0.46,0,0.15,0,0,,0,0.92,13.31,16.91
Brandon Adibe - TOR,9,14.22,6.11,0.67,0.11,0.56,0.33,0.56,0.67,,42.22,5.33,36.89,45.45,0,0.33,0,0.11,0,0,,0,0.56,13.67,15.75
Erik Hotaling - COL,10,14.2,9.8,1.3,0.7,0.6,0.7,1.2,7.4,91.36,119.8,65,54.8,52.04,0.6,0.7,0,0.1,0,0.3,50,1.1,1.4,12.8,16.78
Jeremy Knopf - COL,12,14.17,11.17,1,0.5,0.5,0.08,0.92,9.67,98.31,58,42.25,15.75,58.96,0.17,0.17,0,0,0,0.25,100,0,5.17,9,14.95
Alex Forsberg - SLC,13,14.15,8.23,1.31,0.23,1.08,1.15,2.23,3,90.7,56.69,11.77,44.92,57.94,0.38,0.15,0,0.08,0,0.08,50,0,0.31,13.85,15.2
Brandon Li - SEA,9,14.11,14.44,1.33,0.56,0.78,0.56,1.33,5.44,89.09,116.33,22.67,93.67,50,0.22,0.44,0,0.11,0,0.11,100,0.11,8.89,5.22,16.06
Bradley Fleming - ATL,1,14,9,0,0,0,0,0,2,,16,7,9,,0,0,0,0,0,0,,0,0,14,14.23
Benjamin Horrisberger - BOS,8,14,7.63,0.63,0.38,0.25,0.75,1,5.5,93.62,47.63,2.88,44.75,57.38,0.13,0.25,0,0.13,0,0,,0,0,14,16.98
Charles Cannon - COL,1,14,16,0,0,0,3,0,6,,7,28,-21,,1,3,0,0,0,0,,0,0,14,16.9
Charlie Schuweiler - MIN,1,14,15,2,2,0,0,0,9,,106,66,40,,2,2,0,0,0,0,,0,9,5,14.02
Chris Wilson - LV,11,14,10.36,0.64,0.45,0.18,0.36,0.55,5.64,92.54,57,7.55,49.45,31.58,0.36,0.36,0,0.09,0,0,,0,3.82,10.18,16.75
Drew Schnaudigel - NY,4,14,9.25,0.25,0,0.25,0.75,0.5,2.75,,41,16,25,56.76,0.25,0.25,0,0.25,0,0,,0,1,13,13.28
Ethan Niedzwiedz - HTX,2,14,11,1.5,1,0.5,0,0.5,5.5,,127,0.5,126.5,40.91,0,0.5,0,0.5,0,0,,0,7.5,6.5,15.37
Felix Pronove - COL,1,14,16,2,2,0,0,2,7,,98,73,25,,1,0,0,0,0,1,100,0,0,14,16.9
Jake Carrico - MAD,13,14,12.31,2.15,1.69,0.46,0.46,1.77,8.54,89.52,145.08,85.46,59.62,53.13,0.92,0.77,0,0.08,0.08,0.46,100,0.08,4,10,15.57
Jason Huynh - TOR,1,14,17,2,0,2,0,0,17,,187,37,150,,0,1,0,1,0,0,0,0,9,5,21.68
Malachi Marshall - PIT,10,14,12.9,0.5,0.2,0.3,0.2,0.1,9.9,94.29,106.7,78.6,28.1,40.31,0.7,0.6,0,0,0,0.2,66.67,0,6.4,7.6,16.46
Michael Poe - ATL,6,14,5.67,1.33,0.33,1,1,2.33,2.83,,77.5,22.17,55.33,67.65,0.5,0,0,0,0,0.17,100,0,0,14,13.51
Nicholas Dunbar - LA,11,14,10.27,1.18,0.55,0.64,0.55,1.09,6.09,91.78,111.36,33.82,77.55,33.63,0.18,0.45,0,0.18,0.09,0.09,33.33,1.73,4.27,9.73,15.98
Noah Pollack - MAD,2,14,13,0.5,0.5,0,0.5,0.5,6.5,,52,58.5,-6.5,46.15,0,0.5,0,0,0,0.5,100,2,1.5,12.5,15.85
Nathan Prior - OAK,4,14,18.75,1.75,0.75,1,0.25,2,32.5,100,184.25,164.5,19.75,60,1.75,0,0,0,0,0.25,100,0,14,0,15.45
Ryan Takayama - OAK,1,14,8,0,0,0,1,0,2,,14,11,3,,0,1,0,0,0,0,,0,1,13,18.8
Turner Allen - BOS,9,14,8,1.22,0.67,0.56,0.67,1.67,11,98.02,90,18.56,71.44,62.5,0.56,0.11,0,0.11,0,0,,0,1.11,12.89,18.01
Tommy Trompeter - HTX,1,14,5,0,0,0,0,0,1,,10,-10,20,,0,0,0,0,0,0,,2,0,14,15.38
Vance Mader - ATX,4,14,12.75,1.5,0.25,1.25,0,1,3.75,,87.25,25,62.25,47.06,0.75,0.25,0,0.25,0,0,,0,6.25,7.75,15.31
Wyatt Krisky - PIT,3,14,9,1.33,0.33,1,0.67,1.33,4.67,,103,16,87,55.56,0,0.33,0,0.33,0,0,,0,2,12,13.89
Will McDonald - SEA,1,14,12,2,0,2,0,0,1,,86,-4,90,,0,1,0,1,0,0,,1,5,9,16.75
Casey Shugarman - SD,14,13.93,7.79,0.5,0.29,0.21,0.93,1.21,2.21,91.18,50.29,11.57,38.71,47.71,0.36,0.21,0,0,0,0,,0,0.43,13.5,16.04
Greg Cousins - MIN,13,13.92,16.77,2.15,0.54,1.62,0.23,1.92,8.69,95.76,173.62,71.62,102,57.34,1.08,0.31,0,0.15,0,0.46,66.67,0.08,12.69,1.23,16.63
Daniel Eppstein - LA,7,13.86,13.86,1.14,1,0.14,0.14,0.14,10.86,90.48,163.29,73.71,89.57,39.18,0.86,1,0,0.14,0,0.14,33.33,0,9.29,4.57,18.07
Marcus Lee - DC,5,13.8,5,0.6,0.2,0.4,0,-0.2,3.8,82.61,7.8,15.6,-7.8,48,0.6,0.8,0,0,0,0,,0,0.2,13.6,14.36
Sebastian Rossi - BOS,10,13.8,7.6,1,0.5,0.5,0.7,1.5,3.4,94.44,71.6,25.4,46.2,63.16,0.1,0.2,0,0,0,0.2,100,1.1,1.2,12.6,15.94
Moussa Dia - DC,9,13.78,9.11,1.11,0.33,0.78,0.67,1.44,5.67,96.23,75.33,26.89,48.44,52.44,0.67,0.22,0,0.11,0,0,,0,2.11,11.67,17.01
