Player,G,PP,POS,SCR,AST,GLS,BLK,PLUSMINUS,CMP,CMPPER,Y,TY,RY,OEFF,HA,T,S,D,C,HCK,HCKPER,PUL,OPP,DPP,MP
Archer Gordon - ORE,10,17.5,22.1,2.7,0.6,2.1,0.2,2.5,12.2,96.83,214.7,41.2,173.5,39.82,0.8,0.3,0.1,0.1,0,0.1,50,0,17,0.5,20.85
Ben Landry - IND,4,17.5,17.75,1.5,1,0.5,0.5,-0.25,24.75,91.67,255.25,179.75,75.5,46.48,1.5,2.25,0.25,0,0,0.5,40,0,9.75,7.75,18.41
Cooper Williams - CAR,10,17.5,10.8,1,0.3,0.7,0.9,1.5,3.8,88.37,58.2,8.7,49.5,50.93,0.1,0.4,0,0,0,0,0,1.1,1.5,16,20.21
Marques Brownlee - NY,10,17.5,8.9,2,1.8,0.2,0.5,1.7,10.2,91.89,136.1,107,29.1,53.93,0.6,0.8,0,0,0,0.4,66.67,12.8,1.5,16,17.9
Philippe Le Bourdais - MTL,10,17.5,20.8,2.9,1.2,1.7,0.1,2.5,8,95.24,203,47.4,155.6,52.4,1.2,0.4,0,0.1,0,0.3,100,0,16.6,0.9,18.84
Tannor Johnson-Go - BOS,11,17.45,11.82,3.36,2.27,1.09,1.27,3.91,19.18,96.35,214.27,101.18,113.09,56.92,1,0.64,0,0.09,0,0.18,40,10.82,2.55,14.91,21.92
Gordon Larson - MIN,16,17.44,20.81,3.31,2.19,1.13,0.25,2.06,25.06,94.35,294.38,177.06,117.31,52.55,2.06,1.25,0,0.25,0,0.38,60,0,15.63,1.81,19.41
Jake Wahl - IND,12,17.42,20.17,0.83,0.5,0.33,0.75,0,21.67,94.55,173.33,101.17,72.17,35.12,1.25,1,0,0.58,0,0.17,33.33,0.17,11.58,5.83,19.81
Keith McRae - TOR,12,17.42,16.75,2.58,0.83,1.75,0.75,2.67,9,93.1,194.25,61.17,133.08,54.73,0.83,0.67,0,0,0,0.42,55.56,0.17,11.17,6.25,18.63
Nate Ransom - LA,5,17.4,21.4,1.6,0.4,1.2,0,-1,25.8,90.85,192,119.4,72.6,48.6,0.6,2.6,0,0,0,0.2,33.33,0,17.2,0.2,19.5
Benjamin Sadok - BOS,13,17.38,21.77,3.38,2.31,1.08,0.31,2.69,35,97.01,411.46,324.31,87.15,58.66,1.62,1,0,0,0,1.15,78.95,0,17.38,0,21.66
Josh Klane - MIN,14,17.36,20.93,2.57,2,0.57,0.21,1,23.86,92.52,282.64,204.07,78.57,50.51,1.5,1.57,0,0.21,0,1.07,51.72,0.07,16.86,0.5,19.25
Cade White - MAD,3,17.33,15,0.33,0,0.33,0.33,0,4.67,,83.67,41.33,42.33,48.89,0.67,0.33,0,0.33,0,0,,0,0.33,17,20.62
Wyatt Kellman - BOS,3,17.33,19.33,5,3.33,1.67,0.67,3.33,16.67,84.75,297.33,119.33,178,53.45,1.67,2.33,0,0,0,1,50,0,15.67,1.67,20.88
Alex Piper - COL,4,17.25,16,2,0.25,1.75,0.5,1.75,7.25,90.63,121.25,16.75,104.5,60.94,1,0.75,0,0,0,0,0,0,8,9.25,18.35
Nathan De Morgan - SLC,8,17.25,14,3,1.75,1.25,0.5,2.13,7.13,82.61,201.5,82.88,118.63,50,0.63,1.38,0,0,0,1.13,69.23,0,4.75,12.5,19.14
Kainoa Chun-Moy - MAD,13,17.23,19.54,4.08,2.77,1.31,1,3.85,19.54,93.04,259.46,118.15,141.31,52.36,1.38,1.08,0.08,0.15,0,0.69,64.29,0.15,12.08,5.15,21.08
Tyler Monroe - DC,13,17.23,20.46,2.85,1.92,0.92,0.23,2.23,25.46,97.64,250.62,115.15,135.46,58.65,2.15,0.62,0.08,0.23,0,0.23,75,0,17.15,0.08,22.46
Michael Dillard - PIT,5,17.2,14.6,1,0.8,0.2,0.6,0.2,13,91.55,109.8,103,6.8,32.88,0.4,1.2,0,0.2,0,0.6,50,0.4,4,13.2,19.85
Dox Raskin - LA,11,17.18,12.18,1.55,1.09,0.45,0.64,1.45,11.82,94.89,98.91,60.27,38.64,40.3,0.55,0.64,0.09,0.09,0,0,0,3.27,3.64,13.55,19.34
Jace Duennebeil - SLC,14,17.14,18.43,3.86,1.14,2.71,0.36,3.29,6.36,91.75,231.64,56,175.64,63.57,0.5,0.5,0,0.43,0,0.5,87.5,0,14.21,2.93,16.6
Jason Kempe - IND,11,17.09,16.82,1.82,1,0.82,1.64,2.27,18.82,93.67,180.45,103.27,77.18,38.38,1.18,1.09,0,0.09,0,0,0,0,7.45,9.64,20.36
Dean Ramsey - ATL,14,17.07,8.36,1.29,0.43,0.86,0.71,2,1.29,,66.79,8.36,58.43,53.85,0.21,0,0,0,0.07,0.07,100,8.71,0.71,16.36,18.13
Andrew Padula - LA,10,17,11.4,0.8,0.3,0.5,0.6,0.2,15.5,93.37,74.4,58.1,16.3,41.23,0.4,1,0,0.2,0,0,,0,3.2,13.8,19.7
Callahan Bosworth - ORE,7,17,14.86,1.86,0.57,1.29,0.29,1,11.14,95.12,207.43,68.86,138.57,42.31,1,0.57,0.29,0.57,0,0.29,100,0.43,9.14,7.86,15.3
Darren Dyer - DET,2,17,13.5,2.5,0.5,2,2.5,5,2.5,,135.5,6,129.5,33.33,0.5,0,0,0,0,0,,0,2,15,25
Dan Nichols - PIT,6,17,16,1.83,0.83,1,0.67,2.17,14,97.67,150.17,69,81.17,60.42,1.33,0.33,0,0,0,0,,0,11.17,5.83,18.44
Hank Havlin - IND,1,17,18,2,0,2,1,2,3,,109,-3,112,,0,1,0,0,0,0,,0,9,8,17.65
Joe Cercello - CHI,4,17,19.75,3.25,1.75,1.5,0.5,2.75,9.25,92.5,264,126.25,137.75,69.62,1.75,0.75,0,0.25,0,1,80,0,15.25,1.75,16.47
Jaime Perez - LV,5,17,16.4,1.2,0.8,0.4,0.8,-0.2,21.2,89.08,193.4,115.8,77.6,32.93,1,2.2,0,0,0,0.6,33.33,8.6,5.6,11.4,21.5
Kyle Rutledge - CHI,8,17,21.75,3,1.13,1.88,0.88,2.13,21.25,90.91,254.13,143.63,110.5,54.6,1.25,1.38,0,0.38,0,0.25,33.33,0,13.63,3.38,19.52
Louis Gosart - LA,10,17,21.7,1.2,0.6,0.6,0.1,0.2,29.7,95.81,172.8,154.9,17.9,46.08,1,1.1,0,0,0,0.2,100,0,16.9,0.1,19.77
Matthew Nightingale - CAR,1,17,13,1,0,1,2,3,5,,41,-3,44,,0,0,0,0,0,0,,0,0,17,19.02
Zachary Armstrong - TOR,11,16.91,8.64,0.64,0.36,0.27,0.36,0.82,2,91.67,38.73,11.27,27.45,45.26,0.09,0.18,0,0,0,0,0,6.82,2.27,14.64,17.5
Carl Johnson - PIT,7,16.86,16.71,1.57,0.29,1.29,0.57,1.43,5.86,89.13,118.71,24.71,94,45.3,0.57,0.71,0,0,0,0,0,0.57,11.71,5.14,18.2
Max Williams - OAK,14,16.86,12.21,0.86,0.36,0.5,1,1.29,4.29,89.55,83.29,31.36,51.93,46.2,0.14,0.5,0,0.07,0,0.14,66.67,0,2.07,14.79,18.12
Brandon Van Deusen - CHI,12,16.83,22,2.5,2.17,0.33,0.33,1.58,29.83,95.47,317,259.17,57.83,56.44,2.33,1.17,0,0.08,0,0.92,78.57,0.17,15.67,1.17,19.03
Malachi Neil - DET,6,16.83,21.83,1.83,1,0.83,0.33,1.33,9,91.53,153.5,57,96.5,35.88,0.67,0.83,0,0,0,0,0,0.17,14.17,2.67,19.48
Nathan Huff - SLC,11,16.82,10.45,1.09,0.82,0.27,0.45,1.18,9.45,96.3,90.82,49.36,41.45,54.78,1.36,0.36,0,0,0,0.09,100,0,1.18,15.64,18.07
Simon Dastrup - CHI,5,16.8,15.8,2.6,1,1.6,0.8,2.4,6.2,88.57,186.6,55.6,131,68.35,0.4,0.8,0,0.2,0,0.8,100,0,6.6,10.2,18.46
William Brandt - MIN,14,16.79,20.79,3.71,2.79,0.93,0.14,2,30.71,94.51,385.07,232.5,152.57,51.2,1.71,1.5,0,0.36,0,0.43,85.71,0,16.5,0.29,19.3
Dylan DeClerck - MIN,13,16.69,14.54,2.23,0.46,1.77,0.92,2.85,4,92.86,86.62,12.54,74.08,47.62,0.23,0.31,0,0,0,0.08,33.33,0,3,13.69,21.71
Gabe Schoepke - CHI,6,16.67,15.33,3,0.67,2.33,1.17,3.67,2.33,,110.5,7.17,103.33,52.17,0.33,0,0,0.5,0,0,,0.17,0,16.67,19.78
Joel Close - IND,9,16.67,13.67,1.22,0.67,0.56,0.89,1.67,8,93.51,126.78,49,77.78,48.78,0.44,0.44,0,0,0,0.11,100,1.44,7.67,9,16.32
William St-Pierre - MTL,9,16.67,13.56,2.11,0.56,1.56,0.44,2.33,6.11,96.49,146,29,117,52.46,0.78,0.22,0,0,0,0,,0,6.56,10.11,18.72
Braden Distel - LV,11,16.64,15.82,1.18,0.55,0.64,1,1.36,6.18,87.18,128.27,38.45,89.82,31.03,0.55,0.82,0,0,0,0.27,60,0,8.45,8.18,19.47
Terrence Mitchell - CAR,11,16.64,20.27,3.09,1.55,1.55,0.36,2.36,10.91,93.75,248.18,77.27,170.91,61.43,1.09,0.73,0,0.36,0,0.45,100,0,16.55,0.09,17.64
Ben Ashton - SLC,8,16.63,9.88,0.88,0.75,0.13,0.75,1.38,6.5,96.3,76.25,54.13,22.13,55.7,1,0.25,0,0,0,0.38,100,0.38,0.38,16.25,19.25
Raphaël Lalonde-Landry - MTL,12,16.58,11.17,0.75,0.33,0.42,0.92,1.17,7.25,94.57,48,6.17,41.83,47.01,0.42,0.33,0,0.17,0,0,,0,3.25,13.33,18.39
Jay Froude - COL,11,16.55,14.91,1.55,0.45,1.09,0.36,1.27,7.55,94.32,127.27,40.55,86.73,51.83,0.64,0.36,0,0.27,0,0.09,50,0,7.55,9,18.19
Grant Harris - CHI,2,16.5,10,2,2,0,0,2,12.5,100,134.5,98.5,36,75,1.5,0,0,0,0,0,,0,0,16.5,18.2
Gabe Vordick - MAD,12,16.5,22.75,2.42,1.08,1.33,0.25,1.17,21.17,95.13,223.25,57.67,165.58,47.25,2.83,1,0,0.5,0,0.25,50,0.08,16.25,0.25,22.03
Henry Garcia - OAK,6,16.5,11.17,0.83,0.5,0.33,0.17,0.33,9.5,93.44,60.67,56,4.67,55.22,0.83,0.67,0,0,0,0.33,66.67,0,1.33,15.17,18.68
Trevor Elam - HTX,2,16.5,13.5,1.5,1,0.5,0.5,1.5,7,,103,42,61,44.44,0,0.5,0,0,0,0,,0,8,8.5,17.09
Ethan Holmgren - PHI,11,16.45,9.82,1.27,0.55,0.73,0.09,1,9.55,94.59,86.55,52.73,33.82,52.78,1.09,0.36,0,0,0,0,0,9.73,1.82,14.64,19.51
Sean Connole - ATL,10,16.4,18.7,2.4,0.8,1.6,0.4,1.8,13.6,93.79,199.6,67.5,132.1,58.82,1,0.9,0,0.1,0,0.4,80,0,13.3,3.1,19.37
Suhas Madiraju - CAR,10,16.4,10,0.7,0.3,0.4,0.3,0.7,10.8,96.43,50.4,39.6,10.8,57,0.4,0.3,0,0,0.1,0.1,100,0.1,1.5,14.9,20.4
Jake Steslicki - CHI,8,16.38,12.75,1.5,0.88,0.63,0.5,1.88,14.5,98.31,62.75,29.88,32.88,60.78,0.88,0.13,0,0,0,0,,0.13,0.5,15.88,19.51
Connor DeLuna - ATX,9,16.33,9.44,1.89,0.56,1.33,1,2.78,1.56,,71,8.22,62.78,56.47,0.33,0.11,0,0,0,0,,0,0.22,16.11,17.23
Joey Cari - IND,6,16.33,21,1.33,0.83,0.5,0.5,0.83,27.17,97.02,200.5,139.67,60.83,34.92,0.33,0.67,0,0.33,0,0.17,50,0,13,3.33,20.91
Sam Stark - MAD,12,16.33,13.67,1.33,0.75,0.58,0.83,1.5,4.92,90.77,114.08,49.42,64.67,51.83,0.58,0.42,0,0.25,0,0.42,83.33,2,3.83,12.5,17.54
Oliver Artus - SD,13,16.31,19.69,3.15,0.85,2.31,0.31,2.69,8.23,93.86,179,38.38,140.62,54.3,0.69,0.54,0,0.23,0,0.23,60,0,15.77,0.54,16.92
Simon Carapella - BOS,11,16.27,21.27,3.27,1.82,1.45,0.64,3.36,27.64,97.44,260.73,96.64,164.09,58.97,1.82,0.36,0,0.18,0,0.55,85.71,0,16.27,0,21.13
Axel Agami - NY,12,16.25,8.33,1.92,0.58,1.33,0.33,2,5.17,95.38,73.75,21.5,52.25,54,0.58,0.25,0,0,0,0,,0,1.08,15.17,17.94
Micah Wagner - DC,4,16.25,10,1.5,0.25,1.25,1.5,3,7.25,100,139.25,49.25,90,60,0.5,0,0,0,0,0.25,100,0,0,16.25,18.68
Zac Scheuerman - ORE,12,16.25,11.5,1.17,0.08,1.08,0.75,1.42,2.5,78.95,67.83,1.58,66.25,34.78,0.08,0.25,0,0.25,0,0,0,0,2.67,13.58,18.68
Aiden Rudy - DET,9,16.22,12,0.67,0.56,0.11,0.44,-0.33,12,89.26,97.22,92.56,4.67,30.56,0.56,1.44,0,0,0,0.56,55.56,9.89,3.11,13.11,18.46
